scenario_id,object_id,n_valid_steps,pose_minADE,npose_minADE,ade_delta,ade_delta_pct,pose_minFDE,npose_minFDE,fde_delta,fde_delta_pct
df23b6550b40a0b6,2620,42,0.6329039,5.146687,4.513783,87.70269,1.2815334,8.835283,7.55375,85.495285
e1d8ec4bf1152325,5200,71,0.5300398,3.1919746,2.6619349,83.39461,1.3856728,7.528174,6.142501,81.5935
547cfc8e45bfa9be,937,80,1.3251404,3.586822,2.2616816,63.055305,3.1612353,7.5096655,4.34843,57.904446
b7d2dd91dcd8f0d,1524,78,0.5485703,2.7960036,2.2474332,80.380196,0.9382743,5.8678765,4.929602,84.00999
9b5668505d9b683e,1892,34,0.5942758,2.6215644,2.0272887,77.33125,1.1969192,4.8972306,3.7003114,75.559265
f445cb876402f3a4,1154,78,0.91919756,2.8752196,1.956022,68.03035,1.6500951,5.5612097,3.9111147,70.32848
2614c8e809ffc58d,6930,80,6.4667106,8.378144,1.9114337,22.814524,10.521006,14.551463,4.0304575,27.697954
995ecce33ead6f6d,5598,6,0.7383094,2.5899134,1.851604,71.49289,1.2059864,4.850661,3.6446743,75.13769
87a9a5bb1fd7cd17,36,80,0.64703333,2.1863213,1.5392879,70.40539,0.37971708,4.976557,4.59684,92.36989
73a9bd15abfe1326,1688,73,2.0278091,3.5402343,1.5124252,42.721046,3.2339838,6.2418704,3.0078866,48.18887
18c0f0fe66950a38,4081,80,0.26023883,1.7386055,1.4783666,85.031746,0.61455536,4.2108293,3.596274,85.405365
5e0d87f12a74c632,4718,24,0.4701521,1.9385257,1.4683735,75.746925,0.7449399,3.6950877,2.9501476,79.83972
bf929ba7ba2daa5a,5419,60,0.85438603,2.2899487,1.4355626,62.689728,1.3260841,3.7399971,2.413913,64.543175
d41b067dc64a3342,3326,69,0.7966094,2.1978767,1.4012673,63.7555,2.046089,4.320756,2.274667,52.64512
3dd089a044301484,1801,47,2.6206157,4.0145698,1.393954,34.722374,4.8782477,6.3762355,1.4979877,23.493294
b1528553c99957c9,2491,80,1.1379453,2.4507353,1.31279,53.56719,3.2485914,5.585719,2.3371277,41.841125
4e51cd63d721bc81,3183,80,2.2404466,3.5527635,1.3123169,36.93792,4.3574867,7.568238,3.210751,42.424023
cb9627f53f5dce69,2832,25,0.49870473,1.8065028,1.3077981,72.39392,0.6570997,3.2550015,2.5979018,79.812614
11afdcdd1a5f91c4,400,80,0.705189,1.9888523,1.2836633,64.54292,1.3975474,4.509305,3.1117578,69.00748
d59b23818d056c6d,4661,80,2.758522,3.9731812,1.2146592,30.571451,5.647518,7.641484,1.9939656,26.09396
199cd31f14c89ee1,2854,74,1.2048559,2.4142456,1.2093897,50.093895,2.5095234,5.3343897,2.8248663,52.955753
25def949c619625d,3770,80,0.63681674,1.8147179,1.1779011,64.908226,1.2274028,3.67931,2.4519072,66.6404
e4ac922c000fa959,1706,80,2.4323897,3.6097057,1.177316,32.615288,4.674311,7.2004514,2.5261402,35.083084
bbe9639bffe40da5,6622,69,1.0809841,2.2472606,1.1662765,51.897697,1.0220581,4.794213,3.7721548,78.68142
32c9cfa3b5c7080f,2186,80,0.9509615,2.0541942,1.1032327,53.70635,2.3235145,4.477814,2.1542997,48.11052
864ba8308eeec24c,2651,80,0.5707327,1.6610969,1.0903642,65.64122,1.2436347,3.4900362,2.2464015,64.366135
effe653b8f2acd8d,5682,80,0.58395123,1.6689947,1.0850434,65.0118,2.0450044,3.7055795,1.6605752,44.81283
1dc1ccc6abc79efa,3827,80,1.3261857,2.3920085,1.0658228,44.55765,2.7802737,5.44822,2.667946,48.969135
d59a8c97c0980d2a,6056,40,1.4400401,2.4928699,1.0528297,42.233643,2.8291793,5.269722,2.4405427,46.312553
6786c97c43bc3189,1243,80,0.49583688,1.5461805,1.0503436,67.9315,1.3452393,3.8486428,2.5034037,65.0464
5425f0c481d7d97c,2840,80,0.47623724,1.5227692,1.0465319,68.72557,1.2176362,3.31918,2.101544,63.315155
af9dbdcd1d514f77,3106,79,3.3294013,4.371635,1.0422337,23.840822,5.070966,6.589018,1.5180521,23.039125
938996bf114271cf,1542,80,1.0045036,2.033853,1.0293494,50.610806,2.51675,4.289919,1.7731688,41.333385
b6b8ab25a92dc4f9,3609,80,4.7977962,5.823667,1.0258708,17.615547,10.689834,12.069682,1.3798485,11.432351
11a35dc852dd3ff9,2790,80,0.12929466,1.1545812,1.0252866,88.8016,0.32861328,2.39675,2.0681367,86.289215
